"DisplayName";"DisplayVersion";"Publisher";"InstallDate"
"Microsoft OLE DB Driver for SQL Server";"18.7.4.0";"Microsoft Corporation";
"Microsoft Policy Platform";"68.1.1010.0";"Microsoft Corporation";
"Microsoft SQL Server Management Studio - 20.2";"20.2.30.0";"Microsoft Corporation";
"Microsoft Silverlight";"5.1.50907.0";"Microsoft Corporation";
"Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161";"9.0.30729.6161";"Microsoft Corporation";
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161";"9.0.30729.6161";"Microsoft Corporation";
"Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219";"10.0.40219";"Microsoft Corporation";
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219";"10.0.40219";"Microsoft Corporation";
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030";"11.0.61030.0";"Microsoft Corporation";
"Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030";"11.0.61030.0";"Microsoft Corporation";
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"11.0.61030";"Microsoft Corporation";
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501";"12.0.30501.0";"Microsoft Corporation";
"Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664";"12.0.40664.0";"Microsoft Corporation";
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501";"12.0.30501.0";"Microsoft Corporation";
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664";"12.0.40664.0";"Microsoft Corporation";
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664";"12.0.40664";"Microsoft Corporation";
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664";"12.0.40664";"Microsoft Corporation";
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664";"12.0.40664";"Microsoft Corporation";
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664";"12.0.40664";"Microsoft Corporation";
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532";"14.36.32532.0";"Microsoft Corporation";
"Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.38.33135";"14.38.33135.0";"Microsoft Corporation";
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532";"14.36.32532.0";"Microsoft Corporation";
"Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.38.33135";"14.38.33135.0";"Microsoft Corporation";
"Microsoft Visual C++ 2019 X64 Debug Runtime - 14.28.29334";"14.28.29334";"Microsoft Corporation";
"Microsoft Visual C++ 2019 X86 Debug Runtime - 14.28.29334";"14.28.29334";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532";"14.36.32532";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.38.33135";"14.38.33135";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532";"14.36.32532";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.38.33135";"14.38.33135";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532";"14.36.32532";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.38.33135";"14.38.33135";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532";"14.36.32532";"Microsoft Corporation";
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.38.33135";"14.38.33135";"Microsoft Corporation";
"Microsoft Visual Studio Code";"1.94.2";"Microsoft Corporation";
"Microsoft Visual Studio Installer";"2.8.3077.1211";"Microsoft Corporation";
"Microsoft Visual Studio Setup Configuration";"2.7.3111.17308";"Microsoft Corporation";
"Microsoft Visual Studio Setup WMI Provider";"3.7.2182.35401";"Microsoft Corporation";
"Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support";"15.0.27520";"Microsoft Corporation";
"Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support";"15.0.27520";"Microsoft Corporation";
"Microsoft Visual Studio Tools for Applications 2017";"15.0.27520";"Microsoft Corporation";
"Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support";"16.0.31110";"Microsoft Corporation";
"Microsoft Visual Studio Tools for Applications 2019 x86 Hosting Support";"16.0.31110";"Microsoft Corporation";
"Microsoft Visual Studio Tools for Applications 2019";"16.0.31110";"Microsoft Corporation";
"Microsoft Windows Desktop Runtime - 5.0.17 (x64)";"5.0.17.31219";"Microsoft Corporation";
"Microsoft Windows Desktop Runtime - 5.0.9 (x64)";"40.36.30315";"Microsoft Corporation";
"Microsoft Windows Desktop Runtime - 6.0.11 (x64)";"6.0.11.31823";"Microsoft Corporation";
"Microsoft Windows Desktop Runtime - 6.0.26 (x64)";"6.0.26.33205";"Microsoft Corporation";
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)";"40.0.29420";"Microsoft Corporation";
"Notepad++ (64-bit x64)";"8.4.5";"Notepad++ Team";
"Office 16 Click-to-Run Extensibility Component";"16.0.16529.20226";"Microsoft Corporation";
"Office 16 Click-to-Run Licensing Component";"16.0.16529.20226";"Microsoft Corporation";
"Office 16 Click-to-Run Localization Component";"16.0.14131.20278";"Microsoft Corporation";
"OpenSSL 1.1.1q (64-bit)";;"OpenSSL Win64 Installer Team";
"Perl Script Icon (Uninstall only)";"1";;
"PowerShell 7-x64";"7.4.5.0";"Microsoft Corporation";
"PuTTY release 0.78 (64-bit)";"0.78.0.0";"Simon Tatham";
"Python 3.10.7 Add to Path (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Core Interpreter (64-bit debug)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Core Interpreter (64-bit symbols)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Core Interpreter (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Development Libraries (64-bit debug)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Development Libraries (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Documentation (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Executables (64-bit debug)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Executables (64-bit symbols)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Executables (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Standard Library (64-bit debug)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Standard Library (64-bit symbols)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Standard Library (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Tcl/Tk Support (64-bit debug)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Tcl/Tk Support (64-bit symbols)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Tcl/Tk Support (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Test Suite (64-bit debug)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Test Suite (64-bit symbols)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Test Suite (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 Utility Scripts (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.10.7 pip Bootstrap (64-bit)";"3.10.7150.0";"Python Software Foundation";
"Python 3.12.2 Add to Path (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Core Interpreter (64-bit debug)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Core Interpreter (64-bit symbols)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Core Interpreter (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Development Libraries (64-bit debug)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Development Libraries (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Documentation (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Executables (64-bit debug)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Executables (64-bit symbols)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Executables (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Standard Library (64-bit debug)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Standard Library (64-bit symbols)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Standard Library (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Tcl/Tk Support (64-bit debug)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Tcl/Tk Support (64-bit symbols)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Tcl/Tk Support (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Test Suite (64-bit debug)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Test Suite (64-bit symbols)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 Test Suite (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python 3.12.2 pip Bootstrap (64-bit)";"3.12.2150.0";"Python Software Foundation";
"Python Launcher";"3.12.2150.0";"Python Software Foundation";
"SDK ARM Additions";"10.1.22621.3233";"Microsoft Corporation";
"SDK ARM Redistributables";"10.1.22621.3233";"Microsoft Corporation";
"SDK Debuggers";"10.1.22621.3233";"Microsoft Corporation";
"SQLiteStudio";"3.4.3";"sqlitestudio.pl";
"SSMS Post Install Tasks";"15.0.18424.0";"Microsoft Corporation";
"Teams Machine-Wide Installer";"1.3.0.362";"Microsoft Corporation";
"Universal CRT Extension SDK";"10.1.18362.1";"Microsoft Corporation";
"Universal CRT Headers Libraries and Sources";"10.1.18362.1";"Microsoft Corporation";
"Universal CRT Redistributable";"10.0.26624";"Microsoft Corporation";
"Universal CRT Tools x64";"10.1.22621.3233";"Microsoft Corporation";
"Universal CRT Tools x86";"10.1.22621.3233";"Microsoft Corporation";
"Universal General MIDI DLS Extension SDK";"10.1.18362.1";"Microsoft Corporation";
"Update for  (KB2504637)";"1";"Microsoft Corporation";
"VMware Tools";"10.3.5.10430147";"VMware, Inc.";
"VS Script Debugging Common";"16.0.102.0";"Microsoft Corporation";
"Visual Studio 2017 Isolated Shell for SSMS";"15.0.28307.421";"Microsoft Corporation";
"Visual Studio Build Tools 2019";"16.8.31019.35";"Microsoft Corporation";
"WPT Redistributables";"10.1.22621.3233";"Microsoft";
"WPTx64 (DesktopEditions)";"10.1.22621.3233";"Microsoft";
"WPTx64 (OnecoreUAP)";"10.1.22621.3233";"Microsoft";
"WinAppDeploy";"10.1.18362.1";"Microsoft Corporation";
"WinRT Intellisense Desktop - Other Languages";"10.1.22621.3233";"Microsoft Corporation";
"WinRT Intellisense Desktop - en-us";"10.1.22621.3233";"Microsoft Corporation";
"WinRT Intellisense IoT - Other Languages";"10.1.22621.3233";"Microsoft Corporation";
"WinRT Intellisense IoT - en-us";"10.1.18362.1";"Microsoft Corporation";
"WinRT Intellisense Mobile - en-us";"10.1.22621.3233";"Microsoft Corporation";
"WinRT Intellisense PPI - Other Languages";"10.1.22621.3233";"Microsoft Corporation";
"WinRT Intellisense PPI - en-us";"10.1.18362.1";"Microsoft Corporation";
"WinRT Intellisense UAP - Other Languages";"10.1.18362.1";"Microsoft Corporation";
"WinRT Intellisense UAP - en-us";"10.1.18362.1";"Microsoft Corporation";
"WinSCP 5.19.3";"5.19.3";"Martin Prikryl";
"Windows App Certification Kit Native Components";"10.1.22621.3233";"Microsoft Corporation";
"Windows App Certification Kit SupportedApiList x86";"10.1.22621.3233";"Microsoft Corporation";
"Windows App Certification Kit x64 (OnecoreUAP)";"10.1.22621.3233";"Microsoft Corporation";
"Windows App Certification Kit x64";"10.1.22621.3233";"Microsoft Corporation";
"Windows Desktop Extension SDK Contracts";"10.1.18362.1";"Microsoft Corporation";
"Windows Desktop Extension SDK";"10.1.18362.1";"Microsoft Corporation";
"Windows IP Over USB";"10.1.22621.3233";"Microsoft Corporation";
"Windows IoT Extension SDK Contracts";"10.1.18362.1";"Microsoft Corporation";
"Windows IoT Extension SDK";"10.1.18362.1";"Microsoft Corporation";
"Windows Mobile Extension SDK Contracts";"10.1.22621.3233";"Microsoft Corporation";
"Windows Mobile Extension SDK";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK ARM Desktop Tools";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK AddOn";"10.1.0.0";"Microsoft Corporation";
"Windows SDK Desktop Headers arm";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK Desktop Headers arm64";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Headers x64";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK Desktop Headers x86";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Libs arm";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK Desktop Libs arm64";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Libs x64";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Libs x86";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Tools arm64";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Tools x64";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Desktop Tools x86";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK DirectX x64 Remote";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK DirectX x86 Remote";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK EULA";"10.1.18362.1";"Microsoft Corporations";
"Windows SDK Facade Windows WinMD Versioned";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK Modern Non-Versioned Developer Tools";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK Modern Versioned Developer Tools";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK Redistributables";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK Signing Tools";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK for Windows Store Apps Contracts";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK for Windows Store Apps DirectX x86 Remote";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK for Windows Store Apps Headers";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK for Windows Store Apps Libs";"10.1.18362.1";"Microsoft Corporation";
"Windows SDK for Windows Store Apps Metadata";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK for Windows Store Apps Tools";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK for Windows Store Apps";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK for Windows Store Managed Apps Libs";"10.1.22621.3233";"Microsoft Corporation";
"Windows SDK";"10.1.22621.3233";"Microsoft Corporation";
"Windows Software Development Kit - Windows 10.0.18362.1";"10.1.18362.1";"Microsoft Corporation";
"Windows Software Development Kit - Windows 10.0.22621.3233";"10.1.22621.3233";"Microsoft Corporation";
"Windows Team Extension SDK Contracts";"10.1.18362.1";"Microsoft Corporation";
"Windows Team Extension SDK";"10.1.18362.1";"Microsoft Corporation";
"vcpp_crt.redist.clickonce";"14.28.29334";"Microsoft Corporation";
"vs_FileTracker_Singleton";"16.8.30509";"Microsoft Corporation";
"vs_communitymsi";"16.8.30608";"Microsoft Corporation";
"vs_communitymsires";"16.0.28329";"Microsoft Corporation";
"vs_filehandler_amd64";"16.8.30530";"Microsoft Corporation";
"vs_filehandler_x86";"16.8.30530";"Microsoft Corporation";
"vs_minshellinteropmsi";"16.2.28917";"Microsoft Corporation";
"vs_minshellmsi";"16.8.30530";"Microsoft Corporation";
"vs_minshellmsires";"16.8.30530";"Microsoft Corporation";
"vs_tipsmsi";"16.0.28329";"Microsoft Corporation";
"vs_vswebprotocolselectormsi";"16.8.30509";"Microsoft Corporation";
